1e+09,-5.8692,-0.32409,-2.2669,-3.3164,-4.8218,0.26693,-3.3818,-2.0943,-4.8092,-0.6319,-3.3562,-2.2584,-4.986,-0.57216,-3.4102,-2.9007
1.0775e+09,-2.0658,-0.37005,-3.0147,-0.25189,-2.5963,-0.71638,-1.6841,-1.1186,-3.8111,0.85577,-2.8418,-1.2109,-2.6124,-0.60276,-3.4844,-0.078527
1.161e+09,1.895,-0.25562,1.4591,0.28201,3.0404,-0.015576,0.59376,1.3823,2.2594,-0.49136,0.7136,0.98533,1.9034,0.47328,0.62244,0.29916
1.251e+09,2.8057,-0.014126,2.3111,0.55175,3.9624,0.66378,3.2381,0.75019,4.0618,-0.18619,2.7653,0.62649,3.6777,-0.88104,2.3324,-0.47529
1.348e+09,0.3016,1.4716,-0.55401,-0.70263,0.79984,0.37678,-1.4317,0.21024,1.5661,0.34693,-0.26606,-0.52705,1.8503,0.22436,-0.49443,-0.10596
1.4525e+09,-8.8358,-1.4865,-4.9354,-2.8937,-5.2369,-0.39387,-3.0034,-2.3785,-5.912,-0.45773,-4.3751,-2.5549,-8.5775,-1.5611,-4.724,-2.551
1.5651e+09,0.22824,-0.49979,3.159,-3.3829,-0.14304,-0.29634,2.853,-4.1715,-0.11439,-0.25711,2.886,-4.7941,0.77075,-0.58415,2.8879,-3.0955
1.6864e+09,3.8667,-0.57912,1.8116,3.5341,4.9425,0.46814,3.3719,3.819,4.6328,-0.96394,2.6227,3.3301,3.6746,-0.53513,1.7497,3.2635
1.8171e+09,-2.8669,-1.1136,-4.3005,-7.0613,-0.95869,-0.63657,-4.4027,-4.5438,-0.63891,-0.43982,-5.6044,-3.8431,-1.1578,-0.28698,-5.3073,-7.2886
1.958e+09,-3.2131,-0.44172,2.8246,2.63,-5.8337,0.97498,4.0026,3.0169,-6.0228,0.46299,3.733,2.3263,-7.3391,-0.64826,2.8738,1.8562
2.1097e+09,2.0784,-0.30758,-4.5756,-2.7848,3.5238,-0.93528,-5.2469,-1.3281,4.0666,-1.2388,-7.5006,-0.79257,3.0013,0.15069,-5.6946,-2.9917
2.2733e+09,-2.6674,-1.718,-0.70106,-1.121,-1.3577,0.10933,0.061308,-0.40183,-0.27502,-0.089124,0.53339,-0.30645,-1.0277,-1.4895,-1.0759,-0.88985
2.4495e+09,2.4999,-0.59694,2.7246,0.90679,1.5963,1.1486,1.1375,0.58531,1.3464,1.2454,-1.0816,1.6575,-0.47721,0.40101,-0.45887,-1.5567
2.6394e+09,-1.7206,-2.0086,-3.2925,-2.3661,0.26833,-0.18176,-1.6145,-1.8312,0.19893,-0.64865,-0.58841,-1.0057,-1.4197,-0.34064,-3.189,-2.9119
2.8439e+09,1.3281,2.2465,5.7338,7.5437,0.3058,1.3051,6.5742,7.6948,2.5507,1.2045,6.3562,8.5152,2.3912,3.7882,6.4693,7.3637
3.0644e+09,-3.0702,-3.7802,-8.3417,-6.2442,-1.6999,-0.94778,-7.0621,-5.5199,-0.444,0.0057887,-4.1574,-5.3763,-0.92118,-0.24816,-7.7426,-7.1515
3.3019e+09,-0.50516,1.944,1.2632,-3.5061,-0.44743,1.3454,2.6377,-1.9877,0.71493,2.055,5.2871,1.5709,-0.13752,2.1964,2.3363,-4.4466
3.5579e+09,2.9954,-5.7379,3.6447,2.7789,5.1137,-1.7476,4.3449,3.3935,5.8634,-0.6467,4.9717,5.7244,4.002,-2.0718,4.5068,2.0846
3.8337e+09,-5.9643,-4.0853,-3.4499,-1.6823,-7.1153,-1.2978,-4.0034,-0.36702,-4.5572,0.11862,-4.9892,0.53407,-5.7505,0.53169,-4.0299,-0.89948
4.1308e+09,-1.258,0.46196,-6.4517,-0.1574,-0.77633,0.76246,-6.3563,0.60153,0.49792,0.063823,-7.5921,1.8798,-0.43943,-0.18693,-5.6079,-1.7795
4.451e+09,6.4233,5.3866,1.57,3.4484,6.679,1.7654,2.354,3.9449,3.9406,1.5543,2.3554,5.0653,4.2925,4.3867,-0.83709,2.6551
4.796e+09,-1.4406,1.3299,-2.4276,-3.2398,0.81007,0.01916,-1.7299,1.5389,-0.034087,-1.9877,-2.493,1.5313,-0.66504,-0.70852,-2.5346,-3.2372
5.1678e+09,-3.591,-1.1864,-0.090587,0.20105,1.5322,-0.46002,0.79918,-0.87943,1.7399,-1.4248,-2.1299,-0.41966,1.8222,-1.9075,-0.99636,-0.85384
5.5684e+09,-1.7198,0.056995,2.0937,-1.011,1.2067,-2.8569,1.5088,-0.073416,0.014826,-5.2145,-1.08,-0.0032578,1.2982,-5.6072,0.29426,-0.74039
6e+09,-0.27763,0.52726,1.0288,-8.7561,0.72892,-2.4959,0.88197,-6.7307,-1.5092,-3.5823,-0.63345,-8.0087,0.65204,-1.8325,1.2014,-7.3855
